state,age_0_5,age_5_17,age_18_greater,total_enrolments,demo_age_5_17,demo_age_17_,total_demographic_updates,bio_age_5_17,bio_age_17_,total_biometric_updates,population_2011,population_density_2011,literacy_rate_2011,per_capita_gsdp,migration_persons_2011,population_18_plus_share,demo_updates_per_million,biometric_updates_per_million
Andaman And Nicobar Islands,479,32,0,511,617,6629,7246,11806,8892,20698,,,86.6,,,,,
Andhra Pradesh,112445,13746,1495,127686,321148,1974434,2295582,2241467,1473166,3714633,49386799.0,308.0,67.0,270295.0,140.0,0.6836464038270863,46481.69240529236,75215.0994843784
Arunachal Pradesh,1957,2236,151,4344,5783,30660,36443,42894,29500,72394,1383727.0,17.0,65.4,225770.0,143.0,0.5731143712496871,26336.84245519528,52318.12344487027
Assam,141235,66085,22877,230197,84480,928098,1012578,596624,386098,982722,31205576.0,398.0,72.2,158807.0,158.0,0.6123692842396669,32448.623925416407,31491.871837263956
Bihar,262875,334802,11908,609585,380023,4434327,4814350,2208141,2689446,4897587,104099452.0,1106.0,61.8,66828.0,137.0,0.5415278224462962,46247.601764512656,47047.19290933443
Chandigarh,2476,211,36,2723,13133,70228,83361,49171,25311,74482,,,86.0,,167.0,0.6925677468761373,,
Chhattisgarh,82453,18769,1997,103219,165207,1840231,2005438,884555,1764179,2648734,25545198.0,189.0,70.3,166520.0,150.0,0.6177646628607861,78505.4787987942,103688.13739474636
Dadra And Nagar Haveli And Daman And Diu,1497,250,52,1799,1923,10281,12204,16362,22906,39268,,,,,,,,
Delhi,69183,22296,3050,94529,175535,1263399,1438934,556237,748125,1304362,,,86.2,,168.0,,,
Goa,1916,254,163,2333,3275,31845,35120,34244,34153,68397,1458545.0,394.0,88.7,567344.0,177.0,0.7373814841693953,24078.79084978523,46893.993671775635
Gujarat,193031,71182,16336,280549,208474,1615853,1824327,1460655,1735859,3196514,60439692.0,308.0,78.0,309691.0,158.0,0.6521034221976408,30184.253751657103,52887.66196889289
