state,bio_age_5_17,bio_age_17_,total_biometric_updates
Andaman & Nicobar Islands,405,1979,2384
Andaman and Nicobar Islands,11401,6913,18314
Andhra Pradesh,2241448,1473144,3714592
Arunachal Pradesh,42894,29500,72394
Assam,596624,386098,982722
Bihar,2208141,2689446,4897587
Chandigarh,49171,25311,74482
Chhatisgarh,2,3,5
Chhattisgarh,884553,1764176,2648729
Dadra & Nagar Haveli,72,481,553
Dadra and Nagar Haveli,10791,16444,27235
Dadra and Nagar Haveli and Daman and Diu,753,1779,2532
Daman & Diu,531,1654,2185
Daman and Diu,4215,2548,6763
Delhi,556237,748125,1304362
Goa,34244,34153,68397
Gujarat,1460655,1735859,3196514
Haryana,693667,941787,1635454
Himachal Pradesh,191566,204668,396234
Jammu & Kashmir,114,315,429
Jammu and Kashmir,420235,370983,791218
Jharkhand,876613,1149684,2026297
Karnataka,1244999,1390955,2635954
Kerala,647939,961791,1609730
Ladakh,2809,2954,5763
Lakshadweep,2226,2594,4820
Madhya Pradesh,3200117,2723654,5923771
Maharashtra,3512712,5713427,9226139
Manipur,166465,116122,282587
Meghalaya,36531,51095,87626
Mizoram,85531,34798,120329
Nagaland,32561,77032,109593
ODISHA,9,25,34
Odisha,1198584,1204243,2402827
Orissa,12796,49287,62083
Pondicherry,5218,22369,27587
Puducherry,21828,20493,42321
Punjab,700157,1039514,1739671
Rajasthan,2066747,1928208,3994955
Sikkim,11932,10888,22820
Tamil Nadu,2227252,2470865,4698117
Tamilnadu,1,0,1
Telangana,946497,791157,1737654
Tripura,147535,144620,292155
Uttar Pradesh,6207105,3370630,9577735
Uttarakhand,424441,340322,764763
Uttaranchal,0,2,2
WEST BENGAL,8,29,37
WESTBENGAL,5,7,12
West  Bengal,6,22,28
West Bangal,15,39,54
West Bengal,1040470,1483978,2524448
West bengal,5,15,20
Westbengal,2,17,19
andhra pradesh,19,22,41
odisha,0,16,16
west Bengal,1,0,1
