state,demo_age_5_17,demo_age_17_,total_demographic_updates
100000,0,2,2
Andaman & Nicobar Islands,13,1046,1059
Andaman and Nicobar Islands,604,5583,6187
Andhra Pradesh,321143,1974362,2295505
Arunachal Pradesh,5783,30660,36443
Assam,84480,928098,1012578
BALANAGAR,0,2,2
Bihar,380023,4434327,4814350
Chandigarh,13133,70228,83361
Chhatisgarh,0,4,4
Chhattisgarh,165207,1840227,2005434
Dadra & Nagar Haveli,32,203,235
Dadra and Nagar Haveli,1310,4723,6033
Dadra and Nagar Haveli and Daman and Diu,306,3434,3740
Daman & Diu,41,603,644
Daman and Diu,234,1318,1552
Darbhanga,0,2,2
Delhi,175535,1263399,1438934
Goa,3275,31845,35120
Gujarat,208474,1615853,1824327
Haryana,139314,1026826,1166140
Himachal Pradesh,19424,129790,149214
Jaipur,0,2,2
Jammu & Kashmir,23,403,426
Jammu and Kashmir,57850,348926,406776
Jharkhand,99376,1301813,1401189
Karnataka,264981,1430304,1695285
Kerala,61064,683888,744952
Ladakh,1375,4360,5735
Lakshadweep,170,1006,1176
Madanapalle,0,2,2
Madhya Pradesh,407098,2505840,2912938
Maharashtra,273322,4781280,5054602
Manipur,41464,260085,301549
Meghalaya,8426,78952,87378
Mizoram,5302,36604,41906
Nagaland,4314,32477,36791
Nagpur,0,1,1
ODISHA,3,47,50
Odisha,145643,937594,1083237
Orissa,1853,26905,28758
Pondicherry,607,6852,7459
Puducherry,4089,21215,25304
Punjab,56866,825029,881895
Puttenahalli,0,1,1
Raja Annamalai Puram,0,1,1
Rajasthan,257224,2560391,2817615
Sikkim,1555,18785,20340
Tamil Nadu,315638,1896590,2212228
Telangana,242259,1387649,1629908
Tripura,11791,126222,138013
Uttar Pradesh,790308,7752020,8542328
Uttarakhand,49926,413711,463637
Uttaranchal,0,5,5
WEST BENGAL,2,69,71
WESTBENGAL,0,57,57
West  Bengal,6,101,107
West Bangal,4,153,157
West Bengal,242549,3629623,3872172
West Bengli,0,3,3
West bengal,0,60,60
Westbengal,0,95,95
andhra pradesh,5,72,77
odisha,0,20,20
west Bengal,0,15,15
