state,population_18_plus_share
ANDAMAN & NICOBAR ISLANDS,0.7043473000660156
ANDHRA PRADESH,0.6836464038270863
ARUNACHAL PRADESH,0.5731143712496871
ASSAM,0.6123692842396669
BIHAR,0.5415278224462962
CHANDIGARH,0.6925677468761373
CHHATTISGARH,0.6177646628607861
DADRA & NAGAR HAVELI,0.6351194307633607
DAMAN & DIU,0.7242425614781939
GOA,0.7373814841693953
GUJARAT,0.6521034221976408
HARYANA,0.639405017265452
HIMACHAL PRADESH,0.685273003377811
JAMMU & KASHMIR,0.60036956190086
JHARKHAND,0.5788124326922491
KARNATAKA,0.6827005440802854
KERALA,0.7180058477911216
LAKSHADWEEP,0.6905590602566891
MADHYA PRADESH,0.603108306196794
MAHARASHTRA,0.6769626384330897
MANIPUR,0.6367490081695439
MEGHALAYA,0.533694009499832
MIZORAM,0.6147889834967667
NAGALAND,0.5849048396307392
NCT OF DELHI,0.6696060440138024
ODISHA,0.6552531645705714
PUDUCHERRY,0.7124975538395896
PUNJAB,0.6838184904556438
RAJASTHAN,0.587611636900366
SIKKIM,0.6620829306154732
TAMIL NADU,0.7131750767981093
TRIPURA,0.6650941739252856
UTTAR PRADESH,0.5684229144255859
UTTARAKHAND,0.6220060132969416
WEST BENGAL,0.6702788404818832
