state,population_2011,population_density_2011
Andhra Pradesh,49386799,308
Arunachal Pradesh,1383727,17
Assam,31205576,398
Bihar,104099452,1106
Chhattisgarh,25545198,189
Goa,1458545,394
Gujarat,60439692,308
Haryana,25351462,573
Himachal Pradesh,6864602,123
Jammu and Kashmir,12541302,56
Jharkhand,32988134,414
Karnataka,61095297,319
Kerala,33406061,860
Madhya Pradesh,72626809,236
Maharashtra,112374333,365
Manipur,2855794,128
Meghalaya,2966889,132
Mizoram,1097206,52
Nagaland,1978502,119
Odisha,41974218,270
Punjab,27743338,551
Rajasthan,68548437,200
Sikkim,610577,86
Tamil Nadu,72147030,555
Telangana,35193978,306
Tripura,3673917,350
Uttar Pradesh,199812341,829
Uttarakhand,10086292,189
West Bengal,91276115,1028
