state,bio_age_5_17,bio_age_17_,total_biometric_updates
Andaman and Nicobar Islands,11806,8892,20698
Andhra Pradesh,2241467,1473166,3714633
Arunachal Pradesh,42894,29500,72394
Assam,596624,386098,982722
Bihar,2208141,2689446,4897587
Chandigarh,49171,25311,74482
Chhattisgarh,884555,1764179,2648734
Dadra and Nagar Haveli and Daman and Diu,16362,22906,39268
Delhi,556237,748125,1304362
Goa,34244,34153,68397
Gujarat,1460655,1735859,3196514
Haryana,693667,941787,1635454
Himachal Pradesh,191566,204668,396234
Jammu and Kashmir,420349,371298,791647
Jharkhand,876613,1149684,2026297
Karnataka,1244999,1390955,2635954
Kerala,647939,961791,1609730
Ladakh,2809,2954,5763
Lakshadweep,2226,2594,4820
Madhya Pradesh,3200117,2723654,5923771
Maharashtra,3512712,5713427,9226139
Manipur,166465,116122,282587
Meghalaya,36531,51095,87626
Mizoram,85531,34798,120329
Nagaland,32561,77032,109593
Odisha,1211389,1253571,2464960
Puducherry,27046,42862,69908
Punjab,700157,1039514,1739671
Rajasthan,2066747,1928208,3994955
Sikkim,11932,10888,22820
Tamil Nadu,2227252,2470865,4698117
Tamilnadu,1,0,1
Telangana,946497,791157,1737654
Tripura,147535,144620,292155
Uttar Pradesh,6207105,3370630,9577735
Uttarakhand,424441,340324,764765
West Bengal,1040511,1484107,2524618
west Bengal,1,0,1
