state,demo_age_5_17,demo_age_17_,total_demographic_updates
Andaman and Nicobar Islands,617,6629,7246
Andhra Pradesh,321148,1974434,2295582
Arunachal Pradesh,5783,30660,36443
Assam,84480,928098,1012578
BALANAGAR,0,2,2
Bihar,380023,4434327,4814350
Chandigarh,13133,70228,83361
Chhattisgarh,165207,1840231,2005438
Dadra and Nagar Haveli and Daman and Diu,1923,10281,12204
Darbhanga,0,2,2
Delhi,175535,1263399,1438934
Goa,3275,31845,35120
Gujarat,208474,1615853,1824327
Haryana,139314,1026826,1166140
Himachal Pradesh,19424,129790,149214
Jaipur,0,2,2
Jammu and Kashmir,57873,349329,407202
Jharkhand,99376,1301813,1401189
Karnataka,264981,1430304,1695285
Kerala,61064,683888,744952
Ladakh,1375,4360,5735
Lakshadweep,170,1006,1176
Madanapalle,0,2,2
Madhya Pradesh,407098,2505840,2912938
Maharashtra,273322,4781280,5054602
Manipur,41464,260085,301549
Meghalaya,8426,78952,87378
Mizoram,5302,36604,41906
Nagaland,4314,32477,36791
Nagpur,0,1,1
Odisha,147499,964566,1112065
Puducherry,4696,28067,32763
Punjab,56866,825029,881895
Puttenahalli,0,1,1
Raja Annamalai Puram,0,1,1
Rajasthan,257224,2560391,2817615
Sikkim,1555,18785,20340
Tamil Nadu,315638,1896590,2212228
Telangana,242259,1387649,1629908
Tripura,11791,126222,138013
Uttar Pradesh,790308,7752020,8542328
Uttarakhand,49926,413716,463642
West Bengal,242561,3630161,3872722
west Bengal,0,15,15
